Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
Rodney Rogers,Wake Forest,1993,9,SF,89,31.7,13.2,0.579,0.613,0.349,0.694,19.3,8.26,0.621,0.602,0.129,0.368,,8.1
Lindsey Hunter,Jackson State,1993,10,PG,119,31.7,17.8,0.409,0.446,0.353,0.709,20.1,-4.85,0.507,0.479,0.397,0.24,,10.3
Allan Houston,Tennessee,1993,11,SG,128,36,15.3,0.46,0.486,0.424,0.849,21.9,8.28,0.602,0.548,0.417,0.391,,8.5
George Lynch,UNC,1993,12,SF,140,26.5,9.8,0.519,0.524,0.344,0.651,12.5,10.82,0.547,0.523,0.023,0.352,,9.6
Terry Dehere,Seton Hall,1993,13,PG,128,33.4,13.9,0.442,0.486,0.389,0.822,19.5,9.44,0.586,0.53,0.455,0.417,,5.3
Scott Haskin,Oregon State,1993,14,C,111,24.4,8.6,0.55,0.55,0,0.711,11.9,8.36,0.582,0.55,0,0.4,,2
Doug Edwards,Florida State,1993,15,PF,93,34.5,12.8,0.52,0.547,0.263,0.725,17.2,8.54,0.568,0.533,0.095,0.384,,2.7
Rex Walters,Kansas,1993,16,SG,120,25,9,0.5,0.562,0.426,0.837,13.4,11.28,0.636,0.596,0.453,0.345,,3.4
Greg Graham,Indiana,1993,17,SG,132,24.7,7.5,0.514,0.538,0.439,0.766,12,10.64,0.622,0.568,0.249,0.619,,4.8
Luther Wright,Seton Hall,1993,18,C,64,18,5.6,0.522,0.522,0,0.644,7.1,8.69,0.543,0.522,0,0.328,,1.3
Acie Earl,Iowa,1993,19,C,116,27.6,10.9,0.508,0.509,0.286,0.68,15.3,9.05,0.553,0.508,0.006,0.573,,5.5
Scott Burrell,UConn,1993,20,SF,119,32.1,10.7,0.426,0.467,0.357,0.64,13.1,7.75,0.52,0.492,0.369,0.375,,4.8
James Robinson,Alabama,1993,21,PG,96,32.6,14.8,0.447,0.504,0.371,0.697,18.9,7.94,0.554,0.526,0.428,0.326,,4.8
Chris Mills,Arizona,1993,22,SF,126,31.8,12.4,0.508,0.55,0.375,0.767,16.5,8.4,0.584,0.553,0.243,0.287,,9.4
Ervin Johnson,New Orleans,1993,23,C,123,30,8.8,0.591,0.591,0,0.646,13.1,0.68,0.607,0.591,0,0.473,,2.6
Sam Cassell,Florida State,1993,24,PG,66,35.5,13.9,0.478,0.531,0.366,0.734,18.3,10.08,0.569,0.537,0.321,0.33,,6.7
Corie Blount,Cincinnati,1993,25,PF,55,26.4,7.8,0.511,0.513,0,0.559,9.4,6.28,0.521,0.511,0.005,0.335,,3
Geert Hammink,LSU,1993,26,C,113,14.5,5.3,0.471,0.474,0,0.685,6.5,7.33,0.513,0.471,0.005,0.418,,2
Malcolm Mackey,Georgia Tech,1993,27,C,130,31.9,10,0.545,0.546,0,0.621,13.3,10.54,0.562,0.545,0.002,0.394,,1.5
Glenn Robinson,Purdue,1994,1,SF,62,35.1,20.7,0.479,0.507,0.385,0.773,27.5,9.77,0.566,0.523,0.225,0.371,,21.9
Jason Kidd,California,1994,2,PG,59,33.5,10.8,0.468,0.541,0.333,0.677,14.9,7.2,0.561,0.527,0.352,0.474,,11.7
Grant Hill,Duke,1994,3,SF,129,30.4,10.9,0.532,0.546,0.376,0.698,14.9,10.12,0.578,0.548,0.084,0.399,,19.9
Donyell Marshall,UConn,1994,4,SF,91,31,13.5,0.487,0.533,0.306,0.77,18.1,7.15,0.565,0.518,0.202,0.398,,12.6
Juwan Howard,Michigan,1994,5,PF,100,30.7,12.1,0.51,0.514,0.091,0.688,15.3,12.06,0.541,0.511,0.009,0.35,,17
Sharone Wright,Clemson,1994,6,C,92,29.2,10.3,0.531,0.535,0,0.632,14.2,7.22,0.558,0.531,0.006,0.513,,11.4
Lamond Murray,California,1994,7,SF,88,30.6,15,0.489,0.533,0.337,0.713,19.2,7.14,0.557,0.527,0.223,0.321,,14.1
Brian Grant,Xavier,1994,8,PF,117,29.9,9.4,0.594,0.595,0.333,0.676,14.7,1.1,0.619,0.595,0.003,0.544,,13.2
Eric Montross,UNC,1994,9,C,139,25.2,7.7,0.585,0.585,0,0.624,11.7,10.41,0.6,0.585,0,0.562,,10
Eddie Jones,Temple,1994,10,SG,92,33.9,13.4,0.458,0.511,0.35,0.614,16,8.98,0.53,0.515,0.327,0.263,,14
Carlos Rogers,Tennessee State,1994,11,C,79,29.9,12.4,0.603,0.609,0.25,0.629,19.1,-4.07,0.616,0.605,0.016,0.52,,8.9
Khalid Reeves,Arizona,1994,12,PG,128,26.9,10.5,0.479,0.535,0.38,0.763,15,8.75,0.591,0.548,0.362,0.434,,9.2
Jalen Rose,Michigan,1994,13,SF,102,34.4,13.3,0.464,0.512,0.336,0.738,17.5,12.06,0.553,0.51,0.272,0.406,,8.2
Yinka Dare,George Washington,1994,14,C,60,27.8,9.8,0.544,0.544,0,0.529,13.8,5.32,0.547,0.544,0,0.624,,0
Eric Piatkowski,Nebraska,1994,15,SG,123,27.8,11.7,0.471,0.544,0.358,0.777,15.7,7.63,0.58,0.541,0.393,0.341,,7
Clifford Rozier,Louisville,1994,16,C,99,24,8.9,0.573,0.575,0,0.557,12.8,9.04,0.576,0.573,0.003,0.542,,6.8
Aaron McKie,Temple,1994,17,SG,92,38,14.5,0.421,0.453,0.366,0.79,17.9,8.98,0.534,0.488,0.364,0.328,,6.5
Eric Mobley,Pitt,1994,18,C,88,23.8,7.6,0.557,0.557,0,0.486,10.2,9.01,0.549,0.557,0,0.488,,3.9
Tony Dumas,UMKC,1994,19,SG,112,35.7,15.8,0.477,0.516,0.37,0.753,22,-3.58,0.573,0.527,0.27,0.446,,4.6
B.J. Tyler,Texas,1994,20,PG,93,30.7,13,0.435,0.509,0.361,0.741,16.7,5.27,0.559,0.526,0.501,0.313,,3.5
Dickey Simpkins,Providence,1994,21,PF,125,26.7,7.1,0.486,0.49,0.346,0.646,9.8,7.59,0.534,0.491,0.029,0.625,,3.5
Bill Curley,Boston College,1994,22,PF,126,32.7,10.4,0.565,0.567,0,0.78,16.7,7.72,0.622,0.565,0.004,0.603,,2.7
Wesley Person,Auburn,1994,23,SG,108,35,14.2,0.504,0.543,0.441,0.747,19.1,8.13,0.608,0.589,0.387,0.227,,10.4
Monty Williams,Notre Dame,1994,24,SF,85,29.8,12,0.487,0.51,0.364,0.738,16.1,7.92,0.56,0.516,0.159,0.423,,3.3
Greg Minor,Louisville,1994,25,SG,95,32,9.3,0.507,0.566,0.363,0.739,12.6,8.12,0.589,0.56,0.293,0.32,,6
Charlie Ward,Florida State,1994,26,PG,91,29.5,6.5,0.441,0.515,0.323,0.636,8.1,8.21,0.528,0.503,0.384,0.369,,1.6
Brooks Thompson,Oklahoma State,1994,27,PG,123,30.4,10.4,0.441,0.487,0.4,0.753,13.6,6.38,0.576,0.547,0.528,0.288,,3.1
Joe Smith,Maryland,1995,1,PF,64,32.8,12.8,0.551,0.555,0.423,0.738,20.2,8.85,0.608,0.557,0.032,0.624,,15.3
Antonio McDyess,Alabama,1995,2,PF,59,25.1,10.1,0.533,0.534,0,0.625,12.8,6.32,0.549,0.533,0.002,0.323,,13.4
Jerry Stackhouse,UNC,1995,3,SG,69,27.6,10.3,0.496,0.522,0.355,0.72,15.7,11.18,0.579,0.523,0.154,0.653,,19.2
Rasheed Wallace,UNC,1995,4,PF,69,25.5,8.6,0.635,0.637,0.25,0.621,13,11.18,0.638,0.636,0.007,0.391,,10.1
Bryant Reeves,Oklahoma State,1995,5,C,136,30.6,11,0.585,0.587,0.125,0.648,17.4,9.82,0.608,0.585,0.005,0.637,,13.3
Damon Stoudamire,Arizona,1995,6,PG,123,29.8,10.9,0.457,0.514,0.402,0.804,15,8.93,0.597,0.558,0.504,0.323,,19
Shawn Respert,Michigan State,1995,7,SG,119,33,15.1,0.484,0.504,0.454,0.857,21.3,9.71,0.617,0.576,0.407,0.305,,4.9
Ed O'Bannon,UCLA,1995,8,SG,117,29.7,11.3,0.513,0.539,0.394,0.739,15.5,8.91,0.583,0.548,0.175,0.377,,6.2
Kurt Thomas,TCU,1995,9,PF,87,23.7,12.7,0.524,0.54,0.25,0.682,17.4,1.33,0.564,0.531,0.054,0.453,,9
Gary Trent,Ohio,1995,10,PF,93,33.8,14.9,0.573,0.59,0.246,0.687,22.7,0.19,0.608,0.579,0.05,0.522,,7.5
Cherokee Parks,Duke,1995,11,C,131,26.4,8.7,0.551,0.572,0.333,0.755,12.5,10.44,0.603,0.566,0.089,0.407,,3.9
Corliss Williamson,Arkansas,1995,12,SF,91,29.1,12.4,0.583,0.585,0.167,0.672,19,8.77,0.609,0.583,0.005,0.546,,5.6
Eric Williams,Providence,1995,13,SF,60,30.4,12.9,0.453,0.466,0.349,0.673,16.7,8.75,0.519,0.472,0.108,0.523,,10.7
Brent Barry,Oregon State,1995,14,SG,108,28.9,8.4,0.48,0.575,0.345,0.794,12.1,9.12,0.598,0.551,0.414,0.415,,10.1
Alan Henderson,Indiana,1995,15,PF,124,29,11.4,0.54,0.546,0.231,0.646,16,11.15,0.568,0.542,0.018,0.49,,6.4
Bob Sura,Florida State,1995,16,SG,119,33.6,13.7,0.45,0.523,0.336,0.652,17.9,9.97,0.544,0.516,0.394,0.428,,5.3
Theo Ratliff,Wyoming,1995,17,C,111,26.4,6.9,0.547,0.551,0.143,0.608,10.3,3.38,0.569,0.548,0.009,0.64,,4.5
Randolph Childress,Wake Forest,1995,18,PG,120,33.1,12.1,0.446,0.514,0.395,0.804,18.4,9.05,0.614,0.559,0.573,0.499,,3
Jason Caffey,Alabama,1995,19,PF,119,24.3,8.1,0.509,0.514,0.222,0.578,10.4,6.94,0.529,0.511,0.019,0.467,,3.2
Michael Finley,Wisconsin,1995,20,SF,115,34.3,14.6,0.44,0.501,0.338,0.769,18.7,7.83,0.547,0.503,0.375,0.353,,15
George Zidek,UCLA,1995,21,C,104,16.9,5.4,0.52,0.524,0.25,0.744,7.1,8.91,0.562,0.522,0.014,0.385,,4
Travis Best,Georgia Tech,1995,22,PG,124,36.3,12.4,0.456,0.503,0.393,0.809,16.6,9.77,0.581,0.54,0.426,0.316,,3.7
Loren Meyer,Iowa State,1995,23,C,111,22.4,7.8,0.556,0.562,0.214,0.713,11.5,8.17,0.595,0.558,0.016,0.502,,5
David Vaughn,Memphis,1995,24,PF,92,30.6,11.1,0.486,0.493,0.333,0.749,14.2,7.5,0.539,0.493,0.041,0.385,,1.9
Sherell Ford,UIC,1995,25,SF,88,34.2,18.6,0.482,0.512,0.347,0.704,22.9,-3.33,0.541,0.513,0.179,0.286,,3.2
Mario Bennett,Arizona State,1995,26,SF,87,31.3,10.6,0.587,0.61,0.294,0.53,15.7,8.17,0.589,0.598,0.074,0.55,,4.5
Greg Ostertag,Kansas,1995,27,C,127,16.1,5.6,0.55,0.553,0,0.604,7.6,9.83,0.565,0.55,0.004,0.451,,3.6
Cory Alexander,Virginia,1995,28,PG,85,33.6,12.6,0.427,0.485,0.336,0.693,15.1,10.15,0.523,0.493,0.393,0.303,,2.8
Allen Iverson,Georgetown,1996,1,PG,67,32.5,17.5,0.44,0.503,0.314,0.683,23,8.12,0.535,0.492,0.332,0.485,5.1,23.5
Marcus Camby,UMass,1996,2,C,92,25.3,11.7,0.501,0.506,0.077,0.661,15.1,7.75,0.535,0.501,0.012,0.433,2.2,14.8
Shareef Abdur-Rahim,California,1996,3,PF,28,34.7,14.2,0.518,0.525,0.381,0.683,21.1,6.44,0.571,0.528,0.053,0.626,3.1,18.7
Stephon Marbury,Georgia Tech,1996,4,PG,36,37.4,14.3,0.457,0.533,0.37,0.738,18.9,12.71,0.574,0.543,0.463,0.319,3.5,15.8
Ray Allen,UConn,1996,5,SG,101,28.6,14.3,0.487,0.508,0.448,0.779,19,7.3,0.594,0.567,0.359,0.247,5,13.4
Antoine Walker,Kentucky,1996,6,PF,69,21,10.4,0.449,0.482,0.252,0.66,11.7,9.85,0.494,0.467,0.143,0.282,0.9,17.5
Lorenzen Wright,Memphis,1996,7,C,64,34.8,11.5,0.551,0.553,0,0.635,16,6.18,0.572,0.551,0.003,0.463,2.7,7.3
Kerry Kittles,Villanova,1996,8,SG,122,36.1,14.1,0.478,0.536,0.394,0.719,18.4,9.47,0.58,0.558,0.411,0.261,3.2,16.4
Samaki Walker,Louisville,1996,9,PF,50,29.5,9.7,0.57,0.574,0.286,0.568,14.3,8.83,0.578,0.572,0.014,0.572,2.1,5
Erick Dampier,Mississippi State,1996,10,C,93,28.4,8.8,0.587,0.587,0,0.566,13.2,8.21,0.589,0.587,0,0.58,2.7,5.1
Todd Fuller,NC State,1996,11,C,115,27.4,10.2,0.498,0.508,0.309,0.8,13.8,8.63,0.562,0.506,0.047,0.425,3.5,4.1
Vitaly Potapenko,Wright State,1996,12,C,56,30.5,12.1,0.603,0.607,0.167,0.725,19.9,-0.92,0.639,0.604,0.009,0.593,4,5.8
Steve Nash,Santa Clara,1996,13,PG,113,30.1,10.9,0.43,0.462,0.401,0.867,14.9,2.4,0.59,0.537,0.534,0.347,2.8,3.3
Tony Delk,Kentucky,1996,14,PG,133,23.7,10.8,0.474,0.549,0.397,0.709,14.2,9.59,0.59,0.572,0.494,0.236,4,5.4
