Player,School,Year,Pick,TRB,AST,STL,BLK,PTS,SOS,TS%,3PAr,FTr,All-Star
Mike Conley,Ohio State,2007,4,3.4,6.1,2.2,0.3,11.3,9.03,0.584,0.223,0.466,0
Jeff Green,Georgetown,2007,5,6.5,3.1,0.9,1.2,13.1,7.65,0.565,0.249,0.402,0
Corey Brewer,Florida,2007,6,4.3,2.8,1.6,0.4,11.3,6.65,0.571,0.312,0.431,0
Brandan Wright,UNC,2007,7,6.2,1,1,1.8,14.7,9.3,0.637,0,0.445,0
Joakim Noah,Florida,2007,8,6.4,1.7,0.9,1.7,10.5,6.65,0.642,0.003,0.679,1
Spencer Hawes,Washington,2007,9,6.4,1.9,0.5,1.7,14.9,6.5,0.563,0.008,0.27,0
Acie Law,Texas A&M,2007,10,3.1,4.5,1.3,0,13.7,4.53,0.551,0.246,0.35,0
Derrick Rose,Memphis,2008,1,4.5,4.7,1.2,0.4,14.9,5.76,0.56,0.239,0.47,1
Michael Beasley,Kansas State,2008,2,12.4,1.2,1.3,1.6,26.2,7.79,0.61,0.165,0.484,0
O.J. Mayo,USC,2008,3,4.5,3.3,1.5,0.4,20.7,8.59,0.562,0.401,0.284,0
Russell Westbrook,UCLA,2008,4,2.4,2.5,1,0.1,8.3,8.77,0.532,0.2,0.365,1
Kevin Love,UCLA,2008,5,10.6,1.9,0.7,1.4,17.5,7.71,0.644,0.202,0.635,1
Eric Gordon,Indiana,2008,6,3.3,2.4,1.3,0.6,20.9,6.08,0.601,0.489,0.652,0
Joe Alexander,West Virginia,2008,7,4.8,2,0.6,1.2,12.1,7.04,0.522,0.211,0.326,0
D.J. Augustin,Texas,2008,8,2.9,6.2,1.4,0,16.9,7.35,0.569,0.331,0.447,0
Brook Lopez,Stanford,2008,9,7.1,1.1,0.5,1.9,16,8,0.532,0.031,0.384,1
Jerryd Bayless,Arizona,2008,10,2.7,4,1,0.1,19.7,10.22,0.612,0.384,0.59,0
Blake Griffin,Oklahoma,2009,1,11.8,2.1,1.1,1,18.8,7.37,0.62,0.013,0.665,1
Hasheem Thabeet,UConn,2009,2,8.5,0.4,0.4,4.2,10.3,7.14,0.624,0,0.844,0
James Harden,Arizona State,2009,3,5.4,3.7,1.9,0.4,19,7.05,0.618,0.329,0.6,1
Tyreke Evans,Memphis,2009,4,5.4,3.9,2.1,0.8,17.1,4.63,0.529,0.246,0.384,0
Jonny Flynn,Syracuse,2009,5,2.7,6,1.5,0.2,16.6,8.72,0.567,0.34,0.416,0
Stephen Curry,Davidson,2009,6,4.5,3.7,2.1,0.3,25.3,-1.31,0.62,0.538,0.293,1
Jordan Hill,Arizona,2009,7,7.9,0.8,0.5,1.4,12.5,9.93,0.593,0,0.405,0
DeMar DeRozan,USC,2009,8,5.7,1.5,0.9,0.4,13.9,9.15,0.555,0.098,0.401,1
Terrence Williams,Louisville,2009,9,6.9,3.9,1.5,0.6,11.2,7.65,0.484,0.422,0.254,0
Gerald Henderson,Duke,2009,10,4.2,1.8,1,0.7,12.3,9.61,0.533,0.211,0.4,0
John Wall,Kentucky,2010,1,4.3,6.5,1.8,0.5,16.6,6.82,0.562,0.26,0.53,1
Evan Turner,Ohio State,2010,2,6.8,4.1,1.6,0.7,15,7.86,0.577,0.139,0.473,0
Derrick Favors,Georgia Tech,2010,3,8.4,1,0.9,2.1,12.4,9.02,0.621,0.003,0.488,0
Wesley Johnson,Syracuse,2010,4,7,1.6,1.1,1.2,13.9,6.79,0.555,0.367,0.306,0
DeMarcus Cousins,Kentucky,2010,5,9.8,1,1,1.8,15.1,6.82,0.579,0.016,0.726,1
Ekpe Udoh,Baylor,2010,6,6.3,1.5,0.8,2.8,8.4,7.6,0.511,0.062,0.357,0
Greg Monroe,Georgetown,2010,7,8.2,3.2,1.5,1.5,14.5,9.26,0.585,0.052,0.565,0
Al-Farouq Aminu,Wake Forest,2010,8,9.4,1.4,1.2,1.3,14.4,8.1,0.541,0.16,0.534,0
