Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Jonny Flynn,Syracuse,2009,5,73,73,36.5,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.333,4,5.1,0.782,0.6,2.1,2.7,6,1.5,0.2,3.1,1.5,16.6,8.72,,0.567,0.516,0.34,0.416,,,,4.1,26.8,,0.3,17.3,21.5,5.9,2.7,8.6,0.129,,,
Stephen Curry,Davidson,2009,6,104,103,32.6,8.4,17.9,0.467,4.4,8.3,0.53,4,9.7,0.412,4.6,5.3,0.876,0.8,3.8,4.5,3.7,2.1,0.3,3,2.4,25.3,-1.31,,0.62,0.578,0.538,0.293,,,,6.9,40.2,,0.6,12.9,38.3,18,9.3,27.3,0.322,,,
Jordan Hill,Arizona,2009,7,97,79,27,5.1,8.8,0.578,5.1,8.8,0.578,0,0,0,2.3,3.6,0.636,2.8,5.1,7.9,0.8,0.5,1.4,2,2.7,12.5,9.93,,0.593,0.578,0,0.405,,,,18,7,,4,15.7,24.4,7.1,5,12.1,0.185,,,
DeMar DeRozan,USC,2009,8,35,35,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,9.15,,0.555,0.531,0.098,0.401,,,,,,,,14.3,,2.4,1.7,4.1,0.14,,,
Terrence Williams,Louisville,2009,9,140,127,32.2,4.1,10.3,0.4,2.7,6,0.457,1.4,4.4,0.32,1.5,2.6,0.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,7.65,,0.484,0.467,0.422,0.254,,,,11,21.4,,1.3,16.9,20.6,1.9,13.5,15.3,0.136,,,
Gerald Henderson,Duke,2009,10,103,79,25.3,4.4,9.7,0.458,3.8,7.6,0.493,0.7,2,0.329,2.7,3.9,0.706,1.2,3,4.2,1.8,1,0.7,1.9,1.7,12.3,9.61,,0.533,0.493,0.211,0.4,,,,9.5,14.5,,1.9,13.9,25.4,4.3,6.7,11.1,0.17,,,
Tyler Hansbrough,UNC,2009,11,142,141,30.9,6.6,12.3,0.536,6.5,12.1,0.541,0.1,0.3,0.316,6.9,8.7,0.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,8.39,,0.613,0.539,0.022,0.708,,,,15.1,6.2,,1,11.3,27.2,17.2,11.3,28.5,0.26,,,
Earl Clark,Louisville,2009,12,104,63,26.7,4,8.6,0.467,3.5,6.8,0.512,0.5,1.8,0.298,2,3.2,0.64,2.1,4.9,7,1.7,0.9,1.2,2.1,1.7,10.6,8.03,,0.524,0.498,0.21,0.366,,,,16.1,9.7,,4.3,17.5,22.7,3.6,9.8,13.4,0.193,,,
Austin Daye,Gonzaga,2009,13,67,34,22.5,4.1,8.6,0.477,3.2,6.4,0.495,0.9,2.2,0.422,2.5,3.1,0.79,0.9,4.9,5.8,1,0.7,1.9,1.9,2.6,11.6,2.85,,0.575,0.53,0.255,0.364,,,,14.6,9.1,,6.2,16,27.1,4.1,6.2,10.3,0.274,,,
James Johnson,Wake Forest,2009,14,61,59,29.9,5.8,11.2,0.515,4.9,8.4,0.587,0.8,2.8,0.296,2.5,3.6,0.693,2.8,5.5,8.3,1.6,1.4,1.4,2.5,3,14.8,8.09,,0.575,0.551,0.248,0.32,,,,15.2,9.2,,3.3,16.2,25.7,4.6,5.4,10,0.219,,,
John Wall,Kentucky,2010,1,37,37,34.8,5.5,11.8,0.461,4.5,8.8,0.509,1,3.1,0.325,4.7,6.3,0.754,0.8,3.5,4.3,6.5,1.8,0.5,4,1.9,16.6,6.82,,0.562,0.503,0.26,0.53,669,2.7,10.1,6.6,34.8,2.9,1.5,21.4,25.7,3.7,2.6,6.3,0.196,,,
Evan Turner,Ohio State,2010,2,101,94,32.8,5.3,10.6,0.502,4.8,9.1,0.525,0.5,1.5,0.362,3.8,5,0.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15,7.86,,0.577,0.527,0.139,0.473,682,7.3,23.5,14.1,31.4,3,2.4,21.1,30.8,9.3,6.8,16.1,0.194,,,
Derrick Favors,Georgia Tech,2010,3,36,35,27.5,5,8.1,0.611,5,8.1,0.613,0,0,0,2.5,4,0.629,3,5.4,8.4,1,0.9,2.1,2.5,2.6,12.4,9.02,,0.621,0.611,0.003,0.488,420,12.6,19.9,16.5,7.9,1.8,7.9,20,21.8,2.3,2.5,4.8,0.195,,,
Wesley Johnson,Syracuse,2010,4,93,90,31.6,5,10.9,0.454,3.6,6.9,0.516,1.4,4,0.349,2.6,3.3,0.768,2.2,4.7,7,1.6,1.1,1.2,2.2,2.3,13.9,6.79,,0.555,0.518,0.367,0.306,538,7.6,18.3,11.6,11.9,2.7,4,14.7,24.3,5.9,6.3,12.3,0.167,,,
DeMarcus Cousins,Kentucky,2010,5,38,37,23.5,5.4,9.7,0.558,5.4,9.6,0.565,0,0.2,0.167,4.3,7.1,0.604,4.1,5.8,9.8,1,1,1.8,2.1,3.2,15.1,6.82,,0.579,0.56,0.016,0.726,555,19.8,24.8,22.5,9.2,2.4,7.5,13.6,30.5,3.8,2.7,6.5,0.29,,,
Ekpe Udoh,Baylor,2010,6,103,67,27.2,3.3,7,0.472,3.2,6.6,0.485,0.1,0.4,0.289,1.6,2.5,0.649,2.5,3.8,6.3,1.5,0.8,2.8,1.5,2.2,8.4,7.6,,0.511,0.481,0.062,0.357,542,12.9,17.7,13.4,10.9,1.4,9.2,15.1,18.3,3.7,7.1,10.8,0.154,,,
Greg Monroe,Georgetown,2010,7,65,65,32.6,5.3,9.8,0.543,5.2,9.3,0.558,0.1,0.5,0.273,3.7,5.5,0.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,9.26,,0.585,0.55,0.052,0.565,574,8.6,25.2,15.5,20.7,2.2,4.4,19,24.7,6,4.5,10.5,0.198,,,
Al-Farouq Aminu,Wake Forest,2010,8,62,60,30.1,5,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.238,3.9,5.7,0.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,8.1,,0.541,0.495,0.16,0.534,488,14.6,20.5,17.6,9.1,2.6,4.5,17.9,27.5,3.9,4.4,8.3,0.179,,,
Gordon Hayward,Butler,2010,9,69,69,33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.824,1.7,5.7,7.4,1.8,1.3,0.9,2,2.1,14.4,3.57,,0.624,0.562,0.495,0.536,549,7.6,23.4,14.1,12.9,2,2.7,14.8,22.3,7.9,6.3,14.2,0.249,,,
Paul George,Fresno State,2010,10,63,63,33.9,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.396,3.4,4.2,0.803,1.9,4.8,6.7,2.4,2,0.9,2.7,2.8,15.5,1.13,,0.579,0.532,0.43,0.369,469,6.7,18.8,11.5,16.8,4,2.5,17.1,24.6,5.3,3,8.3,0.155,,,
Cole Aldrich,Kansas,2010,11,111,71,21,3.5,6.1,0.574,3.5,6.1,0.574,0,0,0,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12,,0.612,0.574,0,0.515,400,13.6,25.4,20.5,6.5,1.6,9.9,13.6,21,7.4,9,16.5,0.282,,,
Xavier Henry,Kansas,2010,12,36,36,27.5,4.5,9.8,0.458,2.6,5.3,0.492,1.9,4.6,0.418,2.5,3.2,0.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,8.25,,0.591,0.555,0.466,0.325,430,5.2,11.5,8.6,9.8,3.1,1.8,14.4,23.4,2.8,2.1,4.9,0.197,,,
Ed Davis,UNC,2010,13,61,25,22.2,3.4,6.3,0.548,3.4,6.3,0.548,0,0,0,2.3,3.7,0.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,9.09,,0.572,0.548,0,0.595,282,10.8,24.2,17.9,5.7,0.9,7.8,14.9,19.2,2.6,4.6,7.2,0.212,,,
Patrick Patterson,Kentucky,2010,14,97,97,34,6.4,10.9,0.585,6.1,10.1,0.604,0.2,0.8,0.329,3.2,4.3,0.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,6.24,,0.625,0.597,0.069,0.396,498,10.6,13.4,13.8,10,1.2,3.9,11.3,21.3,12,5.7,17.7,0.215,,,
Kyrie Irving,Duke,2011,1,11,8,27.5,5,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,8.31,32.5,0.697,0.615,0.375,0.683,189,2.3,10.6,6.7,29.8,3,1.8,16.4,26.4,1.8,0.6,2.4,0.32,10.8,3.5,14.3
Derrick Williams,Arizona,2011,2,69,68,29.2,5.6,9.6,0.586,5,8.3,0.598,0.7,1.3,0.511,5.9,8.2,0.719,2.5,5.2,7.7,0.9,0.8,0.7,2.3,2.7,17.8,8.04,29.7,0.66,0.621,0.136,0.85,1121,10.9,21,16.1,7.7,1.6,2.3,14.7,27.9,9.2,3,12.2,0.242,9.2,2.6,11.8
Tristan Thompson,Texas,2011,3,36,34,30.7,4.8,8.8,0.546,4.8,8.8,0.546,0,0,0,3.5,7.3,0.487,3.8,4,7.8,1.3,0.9,2.4,1.8,2.8,13.1,7.96,24.2,0.536,0.546,0,0.829,475,14,13.7,13.8,8.1,1.8,7.2,12.7,22.4,2.8,2.7,5.5,0.2,3.9,7.2,11.1
Brandon Knight,Kentucky,2011,4,38,38,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,8.91,19.3,0.553,0.508,0.45,0.333,652,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,3.6,1.8,5.3,0.157,5.4,0.5,5.9
Kemba Walker,UConn,2011,5,111,77,32.9,5.2,12.2,0.428,4.1,8.7,0.469,1.1,3.5,0.326,4.5,5.8,0.783,1,3.4,4.4,4.1,1.7,0.3,2.3,1.5,16.1,9.39,25.7,0.539,0.475,0.287,0.474,1450,3.5,10.6,7.3,26.6,3.2,0.7,13.5,26.2,11.5,6.4,17.9,0.196,10.2,2.7,12.9
Jimmer Fredette,BYU,2011,6,139,102,29.6,6,13.3,0.455,3.9,7.8,0.497,2.1,5.4,0.394,4.5,5.1,0.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7,3.56,30.7,0.596,0.535,0.408,0.386,1723,2.4,8.3,5,26.3,2.1,0.3,13.8,30.5,16.8,6.2,23,0.223,10.2,-0.7,9.5
Klay Thompson,Washington State,2011,7,98,96,34.4,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.39,3.2,3.9,0.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9,6.32,23.6,0.55,0.509,0.438,0.27,1250,3.3,13.8,8.7,20.3,2.6,2.7,15.3,31.9,7.9,5.5,13.4,0.159,6.8,3.2,10.1
Alec Burks,Colorado,2011,8,68,67,30.9,6.2,12.6,0.495,5.5,10.4,0.533,0.7,2.2,0.313,5.9,7.3,0.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19,6.65,27.8,0.592,0.522,0.175,0.579,1260,8.8,13.7,11.3,17,2.1,1.2,12.6,30,9.2,1.6,10.8,0.206,7.3,-0.1,7.2
Markieff Morris,Kansas,2011,9,109,43,19.3,3.1,5.7,0.553,2.8,4.8,0.579,0.3,0.9,0.404,1.9,2.9,0.653,2,4.1,6.1,1.2,0.6,0.9,1.6,2.7,8.5,7.92,25.7,0.603,0.583,0.152,0.504,733,13,22.9,17.7,10.9,1.7,4.8,18.4,21.8,5.5,5.5,10.9,0.208,6.7,5.6,12.3
Marcus Morris,Kansas,2011,10,109,90,24,4.7,8.4,0.555,4.3,7.3,0.585,0.4,1.1,0.358,2.9,4.3,0.66,2.4,3.8,6.2,1.3,0.9,0.4,1.6,2.6,12.6,7.92,27.5,0.601,0.579,0.134,0.514,1029,12.1,16.7,14.6,10.2,1.9,1.8,13.1,24.5,9.4,5.8,15.2,0.232,7.8,3.4,11.2
Kawhi Leonard,San Diego State,2011,11,70,69,31.9,5.4,12,0.449,4.8,9.7,0.497,0.6,2.3,0.25,2.8,3.7,0.744,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,5.29,25,0.513,0.473,0.195,0.312,1014,12.6,25,19,14.4,2.7,2.2,13.7,26,6.1,5.7,11.8,0.211,3.9,5.2,9.1
Nikola Vucevic,USC,2011,12,87,67,27.7,4.2,8.3,0.509,3.8,6.9,0.551,0.4,1.4,0.303,2.2,2.9,0.746,2.4,5.5,8,1.1,0.5,1.1,1.5,2.4,11.1,7.86,24.2,0.571,0.535,0.169,0.355,884,10.8,24.5,17.7,10.1,1,4.4,13.3,22.7,6.5,5.5,12,0.199,5.1,4.4,9.5
Iman Shumpert,Georgia Tech,2011,13,92,91,31.3,4.2,10.6,0.396,3,6.7,0.45,1.2,4,0.305,3.1,4.1,0.738,1.1,3.4,4.5,4.2,2.3,0.2,3,2.7,12.7,7.34,19.9,0.503,0.453,0.373,0.39,854,4.6,12.9,7.9,26.5,4.3,0.6,19.5,23.9,4.1,5.5,9.7,0.135,6.3,3.4,9.8
Chris Singleton,Florida State,2011,14,95,91,29.1,3.5,8.4,0.419,2.4,5.1,0.476,1.1,3.3,0.33,2.1,3.5,0.592,2,4.2,6.2,1.5,1.9,1.4,2.4,3.1,10.3,7.05,18.8,0.507,0.484,0.393,0.419,677,8,16.9,11.9,10.6,4.1,5.1,19.1,21.4,2.5,7.5,10,0.145,2.6,6.9,9.5
Anthony Davis,Kentucky,2012,1,40,40,32,5.3,8.4,0.623,5.2,7.9,0.653,0.1,0.5,0.15,3.6,5.1,0.709,3,7.4,10.4,1.3,1.4,4.7,1,2,14.2,7.93,35.1,0.654,0.628,0.059,0.602,550,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,5.9,4.1,9.9,0.31,7.8,10.8,18.7
Michael Kidd-Gilchrist,Kentucky,2012,2,40,39,31.1,4,8.2,0.491,3.7,6.9,0.535,0.3,1.3,0.255,3.6,4.8,0.745,2.6,4.9,7.4,1.9,1,0.9,2.2,2.4,11.9,7.93,21.2,0.57,0.511,0.156,0.589,497,10.3,17.3,14,10.8,1.9,2.8,17.3,20.6,3.4,2.6,6,0.192,5,4.1,9.1
Bradley Beal,Florida,2012,3,37,37,34.2,4.7,10.6,0.445,3,5.6,0.541,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,7.33,22,0.575,0.525,0.473,0.44,522,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23,3.6,2.1,5.7,0.18,5.3,3.3,8.6
Dion Waiters,Syracuse,2012,4,71,0,20.4,3.5,7.7,0.453,2.5,4.9,0.513,1,2.8,0.348,1.8,2.3,0.753,0.4,1.5,1.9,2,1.5,0.2,1.1,1.6,9.7,8.4,23.3,0.551,0.516,0.362,0.303,642,2.5,8.5,5.5,19.7,4.4,1.3,11.1,25,4.4,2.7,7.1,0.198,6,2.2,8.2
Thomas Robinson,Kansas,2012,5,105,42,18.7,3.8,7.2,0.525,3.7,7,0.525,0.1,0.1,0.5,2.2,3.6,0.606,2.1,5.2,7.3,1,0.6,0.7,1.6,2.1,9.8,8.6,26.1,0.55,0.529,0.019,0.502,995,13.8,31.2,22.8,11,1.9,3.9,15.6,28.3,5.1,5.5,10.6,0.217,3,4.7,7.6
Damian Lillard,Weber State,2012,6,104,98,32.3,5.6,12.6,0.446,3.3,6.5,0.497,2.4,6.1,0.39,5,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,-2.21,29.3,0.606,0.54,0.481,0.458,1498,1.7,14.2,8.1,24.3,2.3,0.6,13.4,28.6,14.2,3.4,17.6,0.209,9.5,-1.4,8.1
Harrison Barnes,UNC,2012,7,75,73,29.3,5.8,13.6,0.43,4.3,9.1,0.469,1.5,4.4,0.349,3.1,4.3,0.734,2,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,8.61,20.3,0.524,0.487,0.326,0.313,1095,7.1,12.3,9.7,8.4,1.7,1.3,11.1,27.3,5.6,3.8,9.3,0.17,4.7,2.1,6.8
Terrence Ross,Washington,2012,8,69,39,24.4,4.6,10.1,0.453,2.9,5.5,0.528,1.7,4.6,0.364,1.4,1.8,0.764,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3,6.51,21.1,0.557,0.536,0.456,0.181,748,4.9,16.8,10.6,9.4,2.1,2.6,11,23.8,4.7,2.7,7.4,0.176,4.8,2,6.8
Andre Drummond,UConn,2012,9,34,30,28.4,4.6,8.6,0.538,4.6,8.5,0.541,0,0.1,0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,8.07,21.9,0.509,0.538,0.007,0.301,328,14.2,17,15.6,3.4,1.8,9.9,13.5,20.9,1.4,1.5,2.9,0.121,0.7,5.3,6
Austin Rivers,Duke,2012,10,34,33,33.2,5.1,11.8,0.433,3.4,7.1,0.477,1.7,4.7,0.365,3.6,5.4,0.658,0.6,2.8,3.4,2.1,1,0,2.3,2.2,15.5,8.4,16.9,0.538,0.505,0.396,0.458,488,2.2,10,6,13,1.7,0.1,13.9,25.2,2.4,1,3.5,0.124,3.7,0,3.7
Meyers Leonard,Illinois,2012,11,65,30,19.8,3,5.4,0.567,3,5.2,0.585,0,0.2,0.083,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,9.55,20.3,0.601,0.569,0.034,0.413,471,8.1,23.1,15.4,8.5,1,6.5,18.4,21.1,2.7,2.2,4.8,0.149,1.2,5.1,6.3
Jeremy Lamb,UConn,2012,12,75,74,32.1,5.3,11,0.482,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.806,1.1,3.6,4.7,1.7,1,0.6,1.6,1.6,14.1,9.25,21.3,0.58,0.553,0.406,0.217,940,4,12.2,8.2,11.2,2,1.9,11.6,22.2,6.9,2.9,9.9,0.164,5.9,1.9,7.8
Kendall Marshall,UNC,2012,13,73,55,28.8,2.5,5.6,0.446,1.8,3.8,0.484,0.7,1.8,0.366,1.5,2.2,0.693,0.2,2.2,2.3,8,1.1,0.1,2.6,1.5,7.2,8.61,16.1,0.541,0.505,0.323,0.401,732,0.6,7.8,4.2,43.2,2.2,0.4,28.5,14.7,3.7,3.3,6.9,0.132,2.9,0.9,3.9
John Henson,UNC,2012,14,109,82,23.8,4.4,8.8,0.497,4.3,8.5,0.505,0,0.2,0.208,1.6,3.2,0.484,2.5,5.7,8.1,1,0.6,2.5,1.5,1.5,10.3,9.01,23.3,0.501,0.5,0.025,0.365,1067,10.8,24.4,17.6,7.8,1.5,10.3,12.9,22.7,4.1,6.7,10.7,0.166,0.9,8.6,9.5
Anthony Bennett,UNLV,2013,1,35,31,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1,2.7,0.375,3.5,5.1,0.701,2.5,5.7,8.1,1,0.7,1.2,1.9,2.3,16.1,5.71,28.3,0.609,0.58,0.253,0.467,488,10.3,24,17.1,8.8,1.5,4.6,12.3,27.5,3.5,2.2,5.7,0.238,5.3,3.2,8.5
Victor Oladipo,Indiana,2013,2,104,75,24.6,3.9,7.3,0.538,3.4,5.9,0.585,0.5,1.4,0.338,2.5,3.5,0.716,2,3.2,5.2,1.7,1.5,0.5,2,2.4,10.7,7.94,24.1,0.604,0.57,0.188,0.476,1118,10.4,15.7,13.1,13.9,3.8,2.3,18,22.7,7.8,4.9,12.7,0.198,6.3,5,11.2
Otto Porter,Georgetown,2013,3,64,38,32.5,4.6,9.2,0.498,3.7,6.8,0.55,0.9,2.4,0.355,2.8,3.8,0.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2,12.8,7.64,24.4,0.585,0.545,0.264,0.41,795,7.7,20.3,14.2,14.9,2.9,3.1,10.8,20.9,6.8,5.3,12,0.231,5.8,5.6,11.4
Cody Zeller,Indiana,2013,4,72,72,29,5.5,9.4,0.592,5.5,9.3,0.594,0,0,0,5,6.6,0.756,2.6,4.7,7.3,1.3,1.2,1.2,2,2.5,16.1,8.09,30.6,0.643,0.592,0.003,0.705,1097,11.8,19.4,15.7,9.5,2.5,4.4,13.5,25.4,9.9,4.2,14.1,0.271,7.2,4.7,11.9
Alex Len,Maryland,2013,5,60,48,24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0.111,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.32,22.1,0.569,0.539,0.022,0.476,565,11.8,21.2,16.5,7.2,0.5,8.6,15.4,20.7,3.5,2.6,6.1,0.165,1.5,5.2,6.6
Nerlens Noel,Kentucky,2013,6,24,24,31.9,4.1,6.9,0.59,4.1,6.9,0.59,0,0,0,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,5.78,27.3,0.583,0.59,0,0.627,257,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,1.6,2.3,3.9,0.206,2.9,11.7,14.6
Ben McLemore,Kansas,2013,7,37,36,32.2,5.4,10.8,0.495,3.4,6.1,0.553,2,4.7,0.42,3.2,3.7,0.87,1.3,3.9,5.2,2,1,0.7,2.1,1.9,15.9,7.54,23.2,0.633,0.586,0.435,0.345,530,5,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.217,7.3,2.9,10.2
Kentavious Caldwell-Pope,Georgia,2013,8,64,60,33,5.3,12.7,0.415,3,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,7.02,24,0.543,0.507,0.539,0.307,902,4.6,18.8,11.5,13.3,3.8,1.6,9.7,27,5.8,3.8,9.6,0.182,6.9,2.4,9.3
Trey Burke,Michigan,2013,9,73,71,35.7,6,13.3,0.45,4.2,8.3,0.499,1.8,5,0.367,3.1,4,0.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9,9.51,24.3,0.556,0.519,0.374,0.3,1307,2.1,10.1,6.1,33.2,2.3,1.4,14,27.4,9.7,3.2,12.9,0.197,7.3,1.8,9.1
C.J. McCollum,Lehigh,2013,10,111,108,32.9,6.9,15.7,0.439,5,10.5,0.47,2,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,-5.41,29.1,0.563,0.501,0.33,0.423,2202,5.2,17,11,20.1,3.6,1.5,11.3,32.4,13.9,6.6,20.5,0.224,5.6,1.7,7.3
Michael Carter-Williams,Syracuse,2013,11,66,40,25.4,2.7,6.8,0.398,2.1,4.8,0.438,0.6,2.1,0.307,2.2,3.2,0.679,0.9,2.7,3.6,5.2,2,0.4,2.3,1.8,8.2,8.29,20.9,0.493,0.445,0.303,0.462,672,4,12.7,8.2,39.1,4.7,2,21.8,21.3,3.3,4,7.4,0.176,4.6,5.1,9.7
Steven Adams,Pitt,2013,12,32,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,0,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,5.63,23.2,0.555,0.571,0,0.4,228,15.3,21,18,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,3,8.8,11.9
Kelly Olynyk,Gonzaga,2013,13,101,31,17.2,3.3,5.6,0.594,3.1,4.9,0.634,0.2,0.7,0.333,2,2.8,0.709,1.5,3.1,4.6,1.1,0.5,0.5,1.4,2,8.9,4,27,0.641,0.616,0.132,0.501,851,11.1,20.4,16,13.1,1.8,3.1,16.6,24.9,6.7,3.6,10.3,0.237,6.6,3.7,10.4
Shabazz Muhammad,UCLA,2013,14,32,30,30.8,6.3,14.3,0.443,5.1,10.9,0.463,1.3,3.3,0.377,4,5.6,0.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,7.82,21.9,0.528,0.487,0.232,0.395,520,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,2.9,0.8,3.7,0.149,4.6,-1.9,2.7
Andrew Wiggins,Kansas,2014,1,35,35,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,17.1,11.4,21.4,0.563,0.499,0.299,0.538,564,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,3.2,1.7,4.9,0.17,5.4,3,8.5
Jabari Parker,Duke,2014,2,35,35,30.7,6.7,14.3,0.473,5.7,11.2,0.504,1.1,3,0.358,4.6,6.1,0.748,3,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,8.48,28.4,0.558,0.511,0.212,0.429,623,11.4,23.1,17.1,8.6,2.1,4,11.9,32.7,3.6,1.9,5.5,0.205,4.3,2.3,6.6
Joel Embiid,Kansas,2014,3,28,20,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,28.2,0.655,0.629,0.029,0.836,307,12.7,27.3,20.5,11.5,2.3,11.7,21.6,23.4,1.8,1.7,3.4,0.213,4.7,10.2,14.9
Aaron Gordon,Arizona,2014,4,38,38,31.2,5,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.356,2,4.7,0.422,2.7,5.3,8,2,0.9,1,1.4,2.4,12.4,9.04,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6
Marcus Smart,Oklahoma State,2014,5,64,63,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.751,1.5,4.4,5.9,4.5,2.9,0.6,3,2.9,16.6,7.53,25.4,0.542,0.47,0.388,0.612,1126,5.2,15.1,10.3,28.4,5.2,2.1,16.4,28.2,5.6,5.4,11,0.207,6.6,6.1,12.7
Julius Randle,Kentucky,2014,6,40,40,30.8,4.9,9.8,0.501,4.8,9.3,0.517,0.1,0.5,0.167,5.1,7.2,0.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15,9.89,24.5,0.567,0.505,0.046,0.739,599,13.3,24.7,19.2,10,1,2.6,16.1,25.4,3.5,2.4,5.9,0.191,4.2,3,7.1
Nik Stauskas,Michigan,2014,7,75,69,32.9,4.3,9.2,0.467,2,4,0.5,2.3,5.2,0.441,3.2,3.9,0.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1,14.1,9.85,20.3,0.638,0.591,0.564,0.421,974,1.8,9.5,5.7,13.4,1.1,0.9,11.8,21,8.5,2.3,10.7,0.174,7.9,0.8,8.7
Noah Vonleh,Indiana,2014,8,30,29,26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9,0.6,0.9,1.4,2.1,2.7,11.3,6.64,22.2,0.604,0.56,0.153,0.62,321,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,1.6,2,3.6,0.182,1.2,4.9,6.1
