Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Vin Baker,Hartford,1993,8,112,56,29.4,7.7,16.2,0.475,7,14,0.502,0.7,2.2,0.3,4,6.2,0.637,,,8.5,1,1,2.5,2.5,3,20,-6.08,,0.522,0.495,0.134,0.386,,,,,,,,11.4,,,,,,,,
Rodney Rogers,Wake Forest,1993,9,89,86,31.7,7.7,13.2,0.579,7.1,11.5,0.613,0.6,1.7,0.349,3.4,4.9,0.694,,,7.9,2.2,1.6,0.8,2.8,2.8,19.3,8.26,,0.621,0.602,0.129,0.368,,,,,,,,15.1,,,,,,,,
Lindsey Hunter,Jackson State,1993,10,119,,31.7,7.3,17.8,0.409,4.8,10.7,0.446,2.5,7.1,0.353,3,4.3,0.709,,,3.2,3.7,2.2,0.3,3.1,2,20.1,-4.85,,0.507,0.479,0.397,0.24,,,,,,,,13.7,,,,,,,,
Allan Houston,Tennessee,1993,11,128,128,36,7,15.3,0.46,4.3,8.9,0.486,2.7,6.4,0.424,5.1,6,0.849,,,4,3.6,1,0.4,3.2,2.1,21.9,8.28,,0.602,0.548,0.417,0.391,,,,,,,,14.9,,,,,,,,
George Lynch,UNC,1993,12,140,102,26.5,5.1,9.8,0.519,5,9.6,0.524,0.1,0.2,0.344,2.2,3.4,0.651,,,7.8,1.7,1.7,0.4,2.3,2.8,12.5,10.82,,0.547,0.523,0.023,0.352,,,,17,12.5,,1.3,16.6,23.1,,,,,,,
Terry Dehere,Seton Hall,1993,13,128,128,33.4,6.1,13.9,0.442,3.7,7.6,0.486,2.5,6.3,0.389,4.8,5.8,0.822,,,3.2,2.5,1.2,0.3,2.6,2.7,19.5,9.44,,0.586,0.53,0.455,0.417,,,,,,,,13.7,,,,,,,,
Scott Haskin,Oregon State,1993,14,111,65,24.4,4.7,8.6,0.55,4.7,8.6,0.55,0,0,0,2.4,3.4,0.711,,,5.6,0.7,0.4,1.5,1.6,2.9,11.9,8.36,,0.582,0.55,0,0.4,,,,,,,,13.7,,,,,,,,
Glenn Robinson,Purdue,1994,1,62,62,35.1,9.9,20.7,0.479,8.1,16,0.507,1.8,4.6,0.385,5.9,7.7,0.773,,,9.7,1.9,1.8,1,3.9,2.7,27.5,9.77,,0.566,0.523,0.225,0.371,,,,,,,,13.8,,,,,,,,
Jason Kidd,California,1994,2,59,,33.5,5.1,10.8,0.468,3.8,7,0.541,1.3,3.8,0.333,3.5,5.1,0.677,,,5.9,8.4,3.5,0.3,4.1,2.5,14.9,7.2,,0.561,0.527,0.352,0.474,,,,,,,,23.5,,,,,,,,
Grant Hill,Duke,1994,3,129,115,30.4,5.8,10.9,0.532,5.4,9.9,0.546,0.3,0.9,0.376,3,4.3,0.698,,,6,3.6,1.7,1,2.5,2.4,14.9,10.12,,0.578,0.548,0.084,0.399,,,,11.2,23.1,,2.8,16.1,23.9,,,,,,,
Donyell Marshall,UConn,1994,4,91,62,31,6.6,13.5,0.487,5.7,10.8,0.533,0.8,2.7,0.306,4.1,5.4,0.77,,,7.6,1.4,1.2,2.7,2.6,2.5,18.1,7.15,,0.565,0.518,0.202,0.398,,,,,,,,14.2,,,,,,,,
Juwan Howard,Michigan,1994,5,100,31,30.7,6.2,12.1,0.51,6.2,12,0.514,0,0.1,0.091,2.9,4.2,0.688,,,7.5,2,0.8,0.6,2.7,3.1,15.3,12.06,,0.541,0.511,0.009,0.35,,,,,,,,16,,,,,,,,
Sharone Wright,Clemson,1994,6,92,84,29.2,5.4,10.3,0.531,5.4,10.2,0.535,0,0.1,0,3.3,5.3,0.632,,,9.8,0.8,0.8,3.1,2.5,2.7,14.2,7.22,,0.558,0.531,0.006,0.513,,,,19.1,8.2,,9.5,16.4,25.8,,,,,,,
Lamond Murray,California,1994,7,88,20,30.6,7.3,15,0.489,6.2,11.6,0.533,1.1,3.3,0.337,3.4,4.8,0.713,,,6.8,1.8,1.3,0.9,2.6,2.3,19.2,7.14,,0.557,0.527,0.223,0.321,,,,,,,,13,,,,,,,,
Brian Grant,Xavier,1994,8,117,,29.9,5.6,9.4,0.594,5.6,9.4,0.595,0,0,0.333,3.5,5.1,0.676,,,9.2,1.2,0.8,1.1,2.3,2.8,14.7,1.1,,0.619,0.595,0.003,0.544,,,,,,,,16.3,,,,,,,,
Eric Montross,UNC,1994,9,139,105,25.2,4.5,7.7,0.585,4.5,7.7,0.585,0,0,0,2.7,4.3,0.624,,,6.8,0.6,0.5,1.2,1.5,2.9,11.7,10.41,,0.6,0.585,0,0.562,,,,14.3,4.2,,4.3,13.5,20.3,,,,,,,
Eddie Jones,Temple,1994,10,92,9,33.9,6.1,13.4,0.458,4.6,9,0.511,1.5,4.4,0.35,2.2,3.5,0.614,,,6.1,1.6,2.1,1.2,1.5,2.5,16,8.98,,0.53,0.515,0.327,0.263,,,,,,,,9,,,,,,,,
Carlos Rogers,Tennessee State,1994,11,79,0,29.9,7.5,12.4,0.603,7.4,12.2,0.609,0.1,0.2,0.25,4.1,6.5,0.629,,,10.5,1.3,0.6,2.8,2.7,3.2,19.1,-4.07,,0.616,0.605,0.016,0.52,,,,,,,,15,,,,,,,,
Khalid Reeves,Arizona,1994,12,128,89,26.9,5,10.5,0.479,3.6,6.7,0.535,1.5,3.8,0.38,3.5,4.6,0.763,,,3.3,3.1,1.5,0.1,2.2,2.3,15,8.75,,0.591,0.548,0.362,0.434,,,,5.2,19.3,,0.2,14.7,21.2,,,,,,,
Jalen Rose,Michigan,1994,13,102,33,34.4,6.2,13.3,0.464,5,9.7,0.512,1.2,3.6,0.336,4,5.4,0.738,,,4.7,3.9,1.2,0.3,3.1,2.4,17.5,12.06,,0.553,0.51,0.272,0.406,,,,,,,,16.2,,,,,,,,
Yinka Dare,George Washington,1994,14,60,,27.8,5.3,9.8,0.544,5.3,9.8,0.544,0,0,0,3.2,6.1,0.529,,,10.3,0.4,0.6,2.3,2.3,3,13.8,5.32,,0.547,0.544,0,0.624,,,,,,,,15.1,,,,,,,,
Joe Smith,Maryland,1995,1,64,64,32.8,7,12.8,0.551,6.9,12.4,0.555,0.2,0.4,0.423,5.9,8,0.738,,,10.7,1,1.5,3,2,3,20.2,8.85,,0.608,0.557,0.032,0.624,,,,,,,,11,,,,,,,,
Antonio McDyess,Alabama,1995,2,59,48,25.1,5.4,10.1,0.533,5.4,10.1,0.534,0,0,0,2,3.3,0.625,,,9.3,0.5,1,1.8,2.2,3.1,12.8,6.32,,0.549,0.533,0.002,0.323,,,,,,,,16,,,,,,,,
Jerry Stackhouse,UNC,1995,3,69,34,27.6,5.1,10.3,0.496,4.6,8.7,0.522,0.6,1.6,0.355,4.9,6.7,0.72,,,6.6,2.3,1.3,1.1,2.9,1.9,15.7,11.18,,0.579,0.523,0.154,0.653,,,,12.2,16,,2.1,17.5,28.8,,,,,,,
Rasheed Wallace,UNC,1995,4,69,41,25.5,5.5,8.6,0.635,5.4,8.6,0.637,0,0.1,0.25,2.1,3.4,0.621,,,7.4,0.8,0.6,2.3,1.5,2.6,13,11.18,,0.638,0.636,0.007,0.391,,,,16.2,4.2,,7.9,12.5,19.4,,,,,,,
